review,sentiment
"I have to admit when I went to see this movie, I didn't really have high expectations. But even with my low expectations I was totally and utterly disappointed...<br /><br />Basically Luke Wilson is a hot shot who tends to go out with slightly crazy girlfriends. There's slight mention of a girl stalking him but that's pretty much it for that character. Which i don't quite mind cause it would probably be just as underdeveloped as the rest of the movie.<br /><br />So while on a subway Rainn Wilson (who i actually liked before this movie) convinces him to talk to a ""hot"" girl, Uma Thurman. This is strange to say the least, as everyone can clearly see that Uma Thurman does not belong under the category of ""hot"".<br /><br />Rainn Wilson's performance is also far from ""hot"". Normally I'm all for his acting, but even he couldn't salvage this movie. His character was jumpy, unrealistic and rather annoying. You could never tell if the writers were trying to make him the comical token closet gay guy, or just desperate. It was almost painful.<br /><br />But anyway, someone steals her purse as she goes to leave the subway, and Luke Wilson being the charming savior he is runs after the robber. Now we all know that Uma Thurman is the superhero, or ""G-Girl"" as they like to call her in the movie. It still baffles me as to what the ""G"" stands for, but we'll leave that for the message boards to debate.<br /><br />The sex scenes I assume are supposed to be funny, but I find myself asking who has sex like that? They nearly throw the bed through the wall because of Uma Thurman's ""passion"" let's say. It makes my head hurt, but not in the ""I'm thinking really hard to understand this"" way.<br /><br />When Uma insults Anna Faris, calling her a ""whore"" I had no debate with that. Apart from the fact that she can't choose movies properly, she can't act and relies souly on the fact that she's blonde and typical.<br /><br />Overall I would've walked out of the theater if i hadn't paid $8.75 to see it. The characters are typical and have absolutely no chemistry, especially Uma Thurman. Someone should let her know that just because you move your head a lot doesn't mean you're acting.<br /><br />Also, the script and storyline could've used either a lot of work or a match and some lighter fluid. I actually started to feel embarrassed for the actors, and their dying careers. Overall, if you value your money, and your self respect do NOT waste your time with this pathetic attempt at a movie.",negative
"The movie itself is not too bad; many comments have pointed out the obvious flaws of the script, but it is watchable. What really gives me the creeps though is that people like Justin Timberlake even get cast for movies, and on top of that for movies like this one. I have to admit I had never heard the man's name before watching this, but the very instant he appeared I was just plain annoyed. The voice is crap, the face is a bad rip-off of Legolas, the posture is horrible, and he cannot even properly coordinate all three of them. Said to say, I was delighted when he got jumped after leaving the disco, because I was hoping from then on it would be Morgan Freeman and Kevin Spacey only. Too bad I was wrong. These two and also LL Cool J give a very decent performance, and they are the main reason I give this a 4. <br /><br />I see many upcoming movies with the little Timberlake cast... and cannot believe it.",negative
"It only took one viewing of this dog, for me to say ""Never again!"" It's so profoundly unmemorable that I had to read other people's reactions to it before I could remember anything beyond (1) it was awful, (2) Connery should have quit while he was ahead, and (3) the film included a total gross-out bit involving faking a retinal scan through the most gruesome (not to mention horribly inefficient) means possible.<br /><br />Actually, I've never understood why anybody would prefer even the best of Connery's Bond films over even the worst Moore or Dalton outings. Or Lazenby, Brosnan, or even David Niven, for that matter. I personally found Octopussy and Moonraker, among other ""canonical"" Bond films, to be far more entertaining than this, and probably for the very same reasons why others deprecate the Moore Bond films, namely their wry humor, and their willingness to surrender to the preposterousness of the whole basic Bond milieu.",negative
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man. Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out. <br /><br />Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent. Very little music or anything to speak of. The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head. He goes to a used record store to buy it for his lover and has to sing the song for two sales clerks before they find the album. Cute scene gave promise, but it went downhill from there. The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty. Wasted two hours.",negative
"I saw this picture in 1940 for $.11 and I would like to secure a DVD in 2006 The film was the greatest adventure of the time and,like all epics,is still an entertainment marvel (B&W and all)You get a sense of real bonded friendship in the chemistry between the actors and the performances of Sam Jaffe & Eduardo Cianelli are outstanding (This could not be done today I particularly liked the ending where the colonel recites the end of Kipling's poem over the body of Gunga Din and tells the ""Untouchable"" ""You're a better man than I am Gunga Din""They don't make movies of this character today.The only cast member that is still alive today is Joan Fontaine",positive
"***Might not consider this having a spoiler, but I'd rather be cautious than careless*** I never saw this movie when I was little. I fell in love with it the first time I saw it with my three year old daughter. I can watch it over and over again.<br /><br />For the little acting Ilene Woods did in her lifetime, she was a wonderful voice for Cinderella; very appealing; very believable. The music really fit the movie perfectly. The acting was great; loved the mice!! You really ""hated"" Lady Tremain and the step-sisters; they were just awful. The cartoonists depicted the spoiled behavior very well.<br /><br />This is a wonderful movie, especially if you are into love stories. My daughter has seen the movie about 25 times and still gets excited at the end.",positive
"I am being in no way facetious when I say that this movie was worse than any other movie ever made. Worse than ""Batman & Robin"". Worse than ""Manos, Hands of Fate"". Seriously, it's that bad. When people tell me that a movie is terrible I use the ""Two Girls"" scale to figure it out. If the movie is comparable to ""Two Girls"" then I won't watch it. If it's twice as good, maybe I'll watch it, but only to laugh at the retards who paid somebody to make it, because a movie twice as good as this one would still be a piece of garbage.",negative
"This is from much of the same creative team behind ""Better Off Dead"", but is not quite as good as that amazing teen comedy. Its a lot of fun, but its all over the place and just not quite as funny. Curtis Armstrong is used to less effect (he was incredibly funny in ""Better off Dead"", Bobcat Goldthwaite is hilarious, Cusack is good, Demi Moore is Demi Moore (only with better hair here.) Overall its fun, and as a person from Cape Cod, it catches the feeling of an 80s Cape Cod summer very effectively. For some reason, this film feels more ""mainstream"" than ""Better off Dead"". There isn't quite as much left field absurdity going on here. Again, if you are a fan of John Cusack and Savage Steve Holland its definitely recommended.",positive
"Wow, I was told this would be a B movie worth watching. I feel that I was misled after seeing this preview event. The plot is a twisted make of several films at best. Even the title is a take on another film if you can give the movie that much credit. I am sorry to say that I was taken to the cleaners. I wouldn't waste your time on this one. This movie appears to be a bunch of wannabes who got together and made a poor idea of a movie on a weekend with a borrowed camera. Being in the entertainment business, I can judge a decent film and this one deserves to be shelved or discarded. My advice, stick to a classic like the 1979 Dawn of the Dead. On a scale of 1 to 10 even a 1 is being nice to producers because this movie BLOWS. (Below Limit Of What Sucks) The producers need to stay with their daytime jobs. If you do view the movie please be honest in your posting, this one seems to have been hyped up and inflated by a few. There are a few who have seen this for what it is and posted correctly. Sorry, but, I have to say this is one to be skipped.",negative
"George Sanders playing the Saint for the penultimate time does a good job out of a good script - with the usual good RKO cast around. It's a non-Charteris story too, bristling with murders and good clean fun.<br /><br />Thread 1: In New York, Police Inspector Fernack, Templar's friend is framed in a corruption scandal and disgraced - ST comes over from London to try to put things right. Nice and simple so far - but is there really more than $90,000 in the world? Thread 2: Another tale of a woman taking revenge on the people who murdered her brother, Wendy Barrie does well in bumping off some nasty men and having the Saint fall in love with her to boot. Including a baddie who was under their direct protection and in Fernack's cellar - there's a creepy shot of him (dead and staring) and them in a car when they're taking him back to where they'd got him. Paul Guilfoyle as Pearly Gates must have supposed to have been homosexual in this - witness the dressing gown at the beginning, and the later beguiling comment by ST that he was thinking of keeping him as a pet - and did too for ""Palm Springs""! Fernack was played by Jonathan Hale as usual but this time with such a beaten deflated attitude that what he really needed was a good slapping from Templar to liven him up.<br /><br />The Hays Office also made sure you got the picture right, all threads are tied up with no straggly bits. Well worth watching for all of us who like this kind of thing, but if Val Kilmer's version is your yardstick then don't bother.",positive
"I am so confused. What in the world was this movie about? What was the killer's motivation? He seemed quite angry, but I have yet to figure out why. Nothing in this movie made sense. It had zero depth. Or less than zero depth. Which I guess would make it a hill. Or a pile. Of crap. The acting was horrible. When I searched for a few of the actors in this movie, they had been in very few things that I had heard of, and that came as absolutely no surprise. I can't decide whether to feel sorry for them for the embarrassment of being in a movie this bad, or to feel that they should never be offered another acting job again. Starting . . . NOW! (Seinfeld reference.) Really, though, don't waste your time with this. There's so little substance that there's nothing there even just to make fun of. This was undoubtedly one of the worst slasher flicks -- NO, one of the worst flicks of ANY KIND, that I have ever had the misfortune to watch, and I've seen quite a few.",negative
"A hint I think may be gathered by the various comments on this thread.<br /><br />I was quite amazed at the number of people who liked this film who want to make it ""mandatory"" or ""compulsory"".<br /><br />I think this gives us a little bit of insight into the reason this film and the issue underlying it is so polarizing.<br /><br />The Global Warming issue appeals a lot to people who want to force others to ""do right"". It appeals particularly to more ""liberal"" leaning people because it doesn't have to do with bedroom morality which is what usually gets conservatives who want to force you to ""be good"" going.<br /><br />And that's the problem with the film. Al Gore is a politician. And a very successful one at that. He just can't help himself from appealing to those people who want to force others to do as they would. The political appeal is just too great.<br /><br />And there we are left with a scientific issue that may be of huge importance, reduced to a political issue appealing to those in the body politic with a predilection to force other to ""do right"".<br /><br />Another interesting question is how did the Environmental movement get hijacked by such people?",negative
"What was an exciting and fairly original series by Fox has degraded down to meandering tripe. During the first season, Dark Angel was on my weekly ""must see"" list, and not just because of Jessica Alba.<br /><br />Unfortunately, the powers-that-be over at Fox decided that they needed to ""fine-tune"" the plotline. Within 3 episodes of the season opener, they had totally lost me as a viewer (not even to see Jessica Alba!). I found the new characters that were added in the second season to be too ridiculous and amateurish. The new plotlines were stretching the continuity and credibility of the show too thin. On one of the second season episodes, they even had Max sleeping and dreaming - where the first season stated she biologically couldn't sleep.<br /><br />The moral of the story (the one that Hollywood never gets): If it works, don't screw with it!<br /><br />azjazz",negative
"I swear if I did ever tried cocaine I'd be able to relate to this film perfectly. Its pace, as well as the dialog, churns out at speeds that some viewers might need to stop and relax their heads.<br /><br />There are great little elements that pop up through out the film, like how Rob Lowe's character seems to always be loosing a shoe, or how some characters keep running spirals around his zigzagged path. The story was put together extremely well and the direction seems flawless.<br /><br />The movie reeks of clumsy and cuteness. This is one I think most could enjoy. A few laugh-out-loud-even-if-you-are-alone moments ensure that I'll certainly be watching this again.",positive
"i have lost count as to how many times i have watched this movie. i've never grown tired of it since this is a movie that can be enjoyed and interpreted on so many levels. they just don't make movies like this anymore.<br /><br />after recently finally watching the riveting documentary on the making of this film (Hearts of Darkness:a filmmakers journey into madness), i'm even more amazed that this film even got finished, yet alone turn out so great.<br /><br />the fact that they actually filmed this movie in the jungles of the Phillipines is the film's greatest asset. you actually FEEL like your in Vietnam.<br /><br />all of the actors are fantastic with my favorites still being Robert Duvall (""I love the smell of napalm in the morning!!"") martin sheen, and the great Marlon Brando.<br /><br />a lot of people complain that the film gets too murky, weird and cerebral near the end. well, remeber what Coppolla said about this movie, ""This film is not about vietnam, it IS vietnam!"" what he means is that this film is about MADNESS and not the war.<br /><br />this movie is based on the short story ""Heart of darkness"" by Joseph Conrad and is set against the vietnam war instead of the civil war as in the book. i think that was a brilliant combination in my opinion.<br /><br />this is perfect, challenging film that is dark, violent, humorous at times and well done in every single possible way.<br /><br />a true classic<br /><br />rating:10",positive
"This is definitely one of the better Mel Brooks movies, along with Spaceballs(although I will openly admit to not having watched many others, at least yet). It's very silly and thoroughly funny, there are hardly more than a few minutes throughout the entire two hour run-time, where you aren't entertained. Almost all of the gags have a great comical effect, few of them fall flat. I saw this movie right after seeing and reviewing Spy Hard, and comparing these two spoof movies, I realize exactly of how high quality this movie really is. It's funny from start to finish, none of the comedy is overdone or boring. The music is marvelous, as is the choreography of both dancing and fighting. The acting is pretty much what you would normally expect from this type of movie... Elwes is a great comedian, and makes a good Robin. The plot is typical Robin Hood, more or less everything from the legend is fit into this movie(and spoofed majorly). If you like Mel Brooks, or you're just a fan of silly humor, or you're just dying to watch a good parody of the legend of Robin Hood, this is definitely the film for you. The HBO First Look special on the film is also worth watching, and in that, you may want to keep watching throughout the credits, too. I'd recommend it to any fan of Mel Brooks movies, and to people who enjoy silly humor. 7/10",positive
"Despite excellent trailers for Vanilla Sky, I was expecting to be disappointed by the film because I'd heard that it did not get great reviews. However, I left the cinema completely in awe of how good Vanilla Sky is.<br /><br />There was no bad acting at all in the whole film, every single character is believable. The romantic moments between Cruise's character, David Aames and Cruz's character, Sophia are tear-jerkingly realistic and intimate (probably due to the fact that they were a soon-to-be real-life couple).<br /><br />The plot of Vanilla Sky will confuse you in the last third of the film and there's very little chance of you guessing the ending. However, ends are tied up towards the end, leaving you with a strange mixture of feelings consisting of sadness, shock and empathy for David Aames.<br /><br />The film is intellectual and you have to pay attention throughout. This isn't that hard because chances are that you'll be completely drawn in to the film and won't take your eyes off the screen for one second.<br /><br />I usually leave cinemas forgetting all about the film I just watch. But Vanilla Sky is still lingering in my mind days after watching it. I recommend it to anyone who wants a change from simple, shallow films.",positive
"Seriously disappointing performance by Brad Pitt and Q T, the plot is very superficial and lame, and, unless indirectly intended, this film actually glorify the Nazis and portrays them as men of honor, and show that the Jewish people are deceiving, cant keep promises and bloody vicious. ((THE FOLLOWING CONTAINS SPOILER)) Hitler together with the most notorious Nazis are attending a stupid plot less movie about the killing of 300 Italian soldiers in a small cinema theater in Paris is unbelievably ridiculous. the Nazis laughing and hooraying each killing in the movie as if watching a basketball game STUPID, the deal at the end is lame. whats really appalling is that the movie earned great reviews and is ranked here in the 40s amongst the greatest 250 films. will not be surprised if it harvested many awards, including Oscars, as well. the movie is simply a kissing ass to the Jewish people, but hey reconsider, its not even doing a great job doing that. it truly dwarfed the whole Nazi - Jews conflict and a pure insult to all who fought and suffered from the tyranny of the Nazis.",negative
"I am a big fan of Stephen King's work, and this film has made me an even greater fan of King. Pet Sematary is about the Creed family. They have just moved into a new house, and they seem happy. But there is a pet cemetery behind their house. The Creed's new neighbor Jud (played by Fred Gwyne) explains the burial ground behind the pet cemetery. That burial ground is pure evil. Jud tells Louis Creed that when you bury a human being (or any kind of pet) up in the burial ground, they would come back to life. The only problem, is that when they come back, they are NOT the same person, they're evil. Soon after Jud explains everything about the Pet Sematary, everything starts to go to hell. I wont explain anymore because I don't want to give away some of the main parts in the film. The acting that Pet Sematary had was pretty good, but needed a little bit of work. The story was one of the main parts of this movie, mainly because it was so original and gripping. This film features lots of make-up effects that make the movie way more eerie, and frightening. One of the most basic reasons why this movie sent chills up my back, was in fact the make-up effects. There is one character in this film that is truly freaky. That character is ""Zelda."" This particular character pops up in the film about three times to be precise. Zelda is Rachel Creed's sister who passed away years before, but Rachel is still haunted by her. The first time Zelda appears in the movie isn't generally scary because she isn't talking or anything, but the second time is the worst, and to be honest, the second time scares the living **** out of me. There is absolutely nothing wrong with this movie, it is almost perfect. Pet Sematary delivers great scares, some pretty good acting, first rate plot, and mesmerizing make-up. This is truly one of most favorite horror films of all time. 10 out of 10.",positive
